  words count
1           0
                                 words count
1                                      78125
970                          otherwise    11
971                              ought    40
972                                our   999
973                               ours    27
974                          ourselves    58
975                                out   566
976                           outbreak     2
977                           outlawed     4
978                            outside    42
979                               over   337
980                                owe     6
981                               owed     6
982                               owes     6
983                              owing    13
984                                own   273
985                              owner     6
986                               paid    31
987                            pandulf     6
988                              papal     2
989                           pardoned     5
990                              parks     5
991                               part   187
992                         particular    30
993                              party    66
994                             patent     7
995                                pay    40
996                            payment     7
997                              peace    42
998                          peaceably     3
999                              pease     1
1000                             peers    16
